bank,account,year,rank
CIB,D,1910,5
CIB,A,1910,6
CGB,TL,1910,
CGB,D,1910,
CGB,A,1910,
BS,TL,1914,1
BS,D,1914,1
BS,A,1914,1
RBS,TL,1914,4
RBS,D,1914,4
RBS,A,1914,3
BLB,TL,1914,6
BLB,D,1914,7
BLB,A,1914,7
CB,TL,1914,2
CB,D,1914,2
CB,A,1914,5
NB,TL,1914,3
NB,D,1914,3
NB,A,1914,2
UB,TL,1914,5
UB,D,1914,4
UB,A,1914,6
CIB,TL,1914,7
CIB,D,1914,6
CIB,A,1914,4
CGB,TL,1914,
CGB,D,1914,
CGB,A,1914,
BS,TL,1915,1
BS,D,1915,1
BS,A,1915,1
RBS,TL,1915,3
RBS,D,1915,5
RBS,A,1915,5
BLB,TL,1915,7
BLB,D,1915,7
BLB,A,1915,3
CB,TL,1915,4
CB,D,1915,4
CB,A,1915,6
NB,TL,1915,2
NB,D,1915,2
NB,A,1915,2
UB,TL,1915,6
UB,D,1915,6
UB,A,1915,7
CIB,TL,1915,5
CIB,D,1915,5
CIB,A,1915,4
CGB,TL,1915,
CGB,D,1915,
CGB,A,1915,
BS,TL,1920,4
BS,D,1920,4
BS,A,1920,7
RBS,TL,1920,2
RBS,D,1920,3
RBS,A,1920,5
BLB,TL,1920,7
BLB,D,1920,7
BLB,A,1920,6
CB,TL,1920,1
CB,D,1920,1
CB,A,1920,4
NB,TL,1920,5
NB,D,1920,5
NB,A,1920,3
UB,TL,1920,6
UB,D,1920,6
UB,A,1920,2
CIB,TL,1920,3
CIB,D,1920,3
CIB,A,1920,1
CGB,TL,1920,
CGB,D,1920,
CGB,A,1920,
BS,TL,1925,4
BS,D,1925,5
BS,A,1925,5
RBS,TL,1925,1
RBS,D,1925,2
RBS,A,1925,1
BLB,TL,1925,6
BLB,D,1925,7
BLB,A,1925,6
CB,TL,1925,2
CB,D,1925,2
CB,A,1925,2
NB,TL,1925,5
NB,D,1925,3
NB,A,1925,4
UB,TL,1925,7
UB,D,1925,6
UB,A,1925,6
CIB,TL,1925,3
CIB,D,1925,4
CIB,A,1925,3
CGB,TL,1925,
CGB,D,1925,
CGB,A,1925,
BS,TL,1930,3
BS,D,1930,3
BS,A,1930,4
RBS,TL,1930,1
RBS,D,1930,1
RBS,A,1930,1
BLB,TL,1930,7
BLB,D,1930,7
BLB,A,1930,7
CB,TL,1930,2
CB,D,1930,2
CB,A,1930,2
NB,TL,1930,4
NB,D,1930,4
NB,A,1930,3
UB,TL,1930,6
UB,D,1930,6
UB,A,1930,6
CIB,TL,1930,5
CIB,D,1930,5
CIB,A,1930,5
CGB,TL,1930,
CGB,D,1930,
CGB,A,1930,
BS,TL,1935,3
BS,D,1935,3
BS,A,1935,3
RBS,TL,1935,1
RBS,D,1935,1
RBS,A,1935,1
BLB,TL,1935,6
BLB,D,1935,6
BLB,A,1935,7
CB,TL,1935,2
CB,D,1935,2
CB,A,1935,2
NB,TL,1935,4
NB,D,1935,4
NB,A,1935,4
UB,TL,1935,7
UB,D,1935,7
UB,A,1935,6
CIB,TL,1935,5
CIB,D,1935,5
CIB,A,1935,5
CGB,TL,1935,
CGB,D,1935,
CGB,A,1935,
BS,TL,1940,3
BS,D,1940,3
BS,A,1940,3
RBS,TL,1940,1
RBS,D,1940,1
RBS,A,1940,1
BLB,TL,1940,6
BLB,D,1940,7
BLB,A,1940,7
CB,TL,1940,2
CB,D,1940,2
CB,A,1940,4
NB,TL,1940,4
NB,D,1940,5
NB,A,1940,3
UB,TL,1940,7
UB,D,1940,6
UB,A,1940,6
CIB,TL,1940,5
CIB,D,1940,4
CIB,A,1940,5
CGB,TL,1940,
CGB,D,1940,
CGB,A,1940,
BS,TL,1945,3
BS,D,1945,3
BS,A,1945,3
RBS,TL,1945,1
RBS,D,1945,1
RBS,A,1945,1
BLB,TL,1945,6
BLB,D,1945,6
BLB,A,1945,5
CB,TL,1945,2
CB,D,1945,2
CB,A,1945,2
NB,TL,1945,4
NB,D,1945,4
NB,A,1945,4
UB,TL,1945,7
UB,D,1945,7
UB,A,1945,7
CIB,TL,1945,5
CIB,D,1945,5
CIB,A,1945,6
CGB,TL,1945,
CGB,D,1945,
CGB,A,1945,
BS,TL,1946,3
BS,D,1946,4
BS,A,1946,4
RBS,TL,1946,1
RBS,D,1946,1
RBS,A,1946,1
BLB,TL,1946,6
BLB,D,1946,6
BLB,A,1946,7
CB,TL,1946,2
CB,D,1946,2
CB,A,1946,3
NB,TL,1946,4
NB,D,1946,4
NB,A,1946,4
UB,TL,1946,7
UB,D,1946,7
UB,A,1946,7
CIB,TL,1946,5
CIB,D,1946,5
CIB,A,1946,6
CGB,TL,1946,
CGB,D,1946,
CGB,A,1946,
BS,TL,1950,4
BS,D,1950,5
BS,A,1950,5
