"TABLE 25 Scottish clearing banks staffs, 1955",,,,
,Males,Females,Total,% Females
Bank of Scotland,"1,867",734,"2,601",28.2
Royal Bank,"1,180",511,"1,691",30.2
British Linen Bank,"1,035",454,"1,489",30.5
National Commercial Bank,"2,266","1,000","3,266",30.6
Clydesdale Bank,"1,383",712,"2,095",34
,"7,731","3,411","11,142",30.6
