"TABLE 6 Discounts in Glasgow, 1810",
,£
Royal Bank Agency,"700,000"
Bank of Scotland Agency,"450,000"
Glasgow Bank,"432,000"
Ship Bank,"50,000"
Thistle Bank,"50,000"
Other,"50,000"
,"1,732,000"
