"Table 39 Bank of Scotland-Balances with netted branch totals 1811-49 (£1,000’s)",,,,,,,,,,,,,,,,
,1811,,1814,,1817,,1822,,1833,,1838,,1840,,1849,
Liabilities,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%,Total,%
1. Deposits at head office,152,6,462,15,656,20,558,22,1140,28,1877,37,1365,32,1738,30
2. Branches in credit,348,14,563,18,694,21,170,7,981,24,1256,25,1154,26,1812,31
,500,20,1028,33,1350,41,728,29,2121,52,3133,61,2619,58,3550,61
3. Notes in hands of public,719,28,672,22,559,17,544,21,525,13,640,12,638,14,570,10
4. to proprietors,,,,,,,,,,,,,,,,
(a) Capital,1000,40,1000,32,1000,31,1000,39,1000,24,1000,20,1000,22,1000,18
(b) Surplus,286,11,296,10,280,9,263,10,377,9,283,6,248,6,325,6
5. Sundries,22,1,74,3,41,2,21,1,15,2,38,1,20,-,313,5
,2527,100,3067,100,3230,100,2556,100,4128,100,5094,100,4525,100,5758,100
Assets,,,,,,,,,,,,,,,,
1. Advances to public (Head office),,,,,,,,,,,,,,,,
(a) On bonds,33,1,32,1,32,1,27,1,325,8,304,6,275,6,180,3
(b) Bills discounted,466,19,576,19,491,15,324,13,279,7,395,8,622,14,376,7
(c) Cash accounts,-,-,151,5,190,6,68,2,333,8,311,6,459,10,437,8
(d) Outstanding debts,-,-,-,-,-,-,-,-,231,5,130,2,129,3,190,3
,499,20,759,25,713,22,419,16,1168,28,1140,22,1485,33,1183,21
2. Loans to agents,1055,42,894,29,333,10,478,19,135,3,448,9,834,18,999,18
,1554,62,1653,54,1046,32,897,35,1303,31,1588,31,2319,51,2182,39
3. Specie,35,1,32,1,27,1,26,1,25,1,31,1,31,1,270,4
4. Investments,728,29,1238,40,1906,59,1487,58,2462,60,2870,56,1686,38,2842,49
5. London assets,5,-,8,-,8,-,5,-,12,-,12,-,15,-,12,-
6. Sundries,50,2,19,1,41,1,37,2,73,2,142,3,279,6,248,4
7. London assets,65,3,-,-,16,1,22,1,160,4,310,6,50,1,-,-
8. Sundries,90,3,117,4,186,6,82,3,93,2,141,3,145,3,204,4
,2527,100,3067,100,3230,100,2556,100,4128,100,5094,100,4525,100,5758,100
Source: BS ledgers,,,,,,,,,,,,,,,,
